countryCode|currencyCode|population|capital|continent|areaInSqKm|languages|geonameId
JP|JPY|127288000|Tokyo|AS|377835|ja|1861060
KE|KES|40046566|Nairobi|AF|582650|en-KE,sw-KE|192950
KG|KGS|5776500|Bishkek|AS|198500|ky,uz,ru|1527747
KH|KHR|14453680|Phnom Penh|AS|181040|km,fr,en|1831722
KI|AUD|92533|Tarawa|OC|811|en-KI,gil|4030945
KM|KMF|773407|Moroni|AF|2170|ar,fr-KM|921929
KN|XCD|51134|Basseterre|NA|261|en-KN|3575174
KP|KPW|22912177|Pyongyang|AS|120540|ko-KP|1873107
KR|KRW|48422644|Seoul|AS|98480|ko-KR,en|1835841
KW|KWD|2789132|Kuwait City|AS|17820|ar-KW,en|285570
KY|KYD|44270|George Town|NA|262|en-KY|3580718
KZ|KZT|15340000|Astana|AS|2717300|kk,ru|1522867
LA|LAK|6368162|Vientiane|AS|236800|lo,fr,en|1655842
LB|LBP|4125247|Beirut|AS|10400|ar-LB,fr-LB,en,hy|272103
LC|XCD|160922|Castries|NA|616|en-LC|3576468
LI|CHF|35000|Vaduz|EU|160|de-LI|3042058
LK|LKR|21513990|Colombo|AS|65610|si,ta,en|1227603
LR|LRD|3685076|Monrovia|AF|111370|en-LR|2275384
LS|LSL|1919552|Maseru|AF|30355|en-LS,st,zu,xh|932692
LT|EUR|2944459|Vilnius|EU|65200|lt,ru,pl|597427
LU|EUR|497538|Luxembourg|EU|2586|lb,de-LU,fr-LU|2960313
LV|EUR|2217969|Riga|EU|64589|lv,ru,lt|458258
LY|LYD|6461454|Tripoli|AF|1759540|ar-LY,it,en|2215636
MA|MAD|31627428|Rabat|AF|446550|ar-MA,fr|2542007
MC|EUR|32965|Monaco|EU|1.95|fr-MC,en,it|2993457
MD|MDL|4324000|Chişinău|EU|33843|ro,ru,gag,tr|617790
ME|EUR|666730|Podgorica|EU|14026|sr,hu,bs,sq,hr,rom|3194884
MF|EUR|35925|Marigot|NA|53|fr|3578421
MG|MGA|21281844|Antananarivo|AF|587040|fr-MG,mg|1062947
MH|USD|65859|Majuro|OC|181.3|mh,en-MH|2080185
MK|MKD|2062294|Skopje|EU|25333|mk,sq,tr,rmm,sr|718075
ML|XOF|13796354|Bamako|AF|1240000|fr-ML,bm|2453866
MM|MMK|53414374|Nay Pyi Taw|AS|678500|my|1327865
MN|MNT|3086918|Ulan Bator|AS|1565000|mn,ru|2029969
MO|MOP|449198|Macao|AS|254|zh,zh-MO,pt|1821275
MP|USD|53883|Saipan|OC|477|fil,tl,zh,ch-MP,en-MP|4041468
MQ|EUR|432900|Fort-de-France|NA|1100|fr-MQ|3570311
MR|MRO|3205060|Nouakchott|AF|1030700|ar-MR,fuc,snk,fr,mey,wo|2378080
MS|XCD|9341|Plymouth|NA|102|en-MS|3578097
MT|EUR|403000|Valletta|EU|316|mt,en-MT|2562770
MU|MUR|1294104|Port Louis|AF|2040|en-MU,bho,fr|934292
MV|MVR|395650|Malé|AS|300|dv,en|1282028
MW|MWK|15447500|Lilongwe|AF|118480|ny,yao,tum,swk|927384
MX|MXN|112468855|Mexico City|NA|1972550|es-MX|3996063
MY|MYR|28274729|Kuala Lumpur|AS|329750|ms-MY,en,zh,ta,te,ml,pa,th|1733045
MZ|MZN|22061451|Maputo|AF|801590|pt-MZ,vmw|1036973
NA|NAD|2128471|Windhoek|AF|825418|en-NA,af,de,hz,naq|3355338
NC|XPF|216494|Noumea|OC|19060|fr-NC|2139685
NE|XOF|15878271|Niamey|AF|1267000|fr-NE,ha,kr,dje|2440476
NF|AUD|1828|Kingston|OC|34.6|en-NF|2155115
NG|NGN|154000000|Abuja|AF|923768|en-NG,ha,yo,ig,ff|2328926
NI|NIO|5995928|Managua|NA|129494|es-NI,en|3617476
NL|EUR|16645000|Amsterdam|EU|41526|nl-NL,fy-NL|2750405
NO|NOK|5009150|Oslo|EU|324220|no,nb,nn,se,fi|3144096
